Agdenes,"['http://www.agdenes.kommune.no/', '<Response [200]>', '<Response [404]>']"
Alstahaug,"['http://www.alstahaug.kommune.no/', '<Response [200]>', 'http://www.alstahaug.kommune.no/moetekalender.414993.no.html']"
Alta,"['http://www.alta.kommune.no/', '<Response [200]>', 'http://www.alta.kommune.no/moetekalender-og-sakspapirer.157111.no.html']"
Alvdal,"['http://www.alvdal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Andebu,"['http://www.andebu.kommune.no/', '<Response [503]>', '<Response [503]>']"
Andøy,"['http://www.andoy.net/', '<Response [200]>', '<Response [404]>']"
Aremark,"['http://www.aremark.kommune.no/', '<Response [200]>', '<Response [404]>']"
Arendal,"['http://www.arendal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Asker,"['http://www.asker.kommune.no/', '<Response [200]>', '<Response [404]>']"
Askim,"['http://www.askim.kommune.no/', '<Response [200]>', '<Response [404]>']"
Askvoll,"['http://www.askvoll.kommune.no/', '<Response [200]>', '<Response [404]>']"
Askøy,"['http://www.askoy.kommune.no/', '<Response [200]>', '<Response [404]>']"
Audnedal,"['http://www.audnedal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Aukra,"['http://www.aukra.kommune.no/', '<Response [200]>', '<Response [404]>']"
Aure,"['http://www.aure.kommune.no/', '<Response [200]>', '<Response [404]>']"
Aurland,"['http://www.aurland.kommune.no/', '<Response [200]>', 'http://innsyn.e-kommune.no/innsyn_aurland/wfinnsyn.ashx?response=moteplan_utvalg&utvalg=1&']"
Aurskog-Høland,"['http://www.aurskog-holand.kommune.no/', '<Response [200]>', '<Response [404]>']"
Austevoll,"['http://www.austevoll.kommune.no/', '<Response [200]>', 'https://www.austevoll.kommune.no/innsyn.aspx?response=moteplan_utvalg&utvalg=1&scripturi=/innsyn.aspx&skin=infolink&Mid1=220&']"
Austrheim,"['http://www.austrheim.kommune.no/', '<Response [200]>', '<Response [404]>']"
Averøy,"['http://www.averoy.kommune.no/', '<Response [200]>', 'http://innsyn.averoy.kommune.no/dmb/Details/1#']"
Balestrand,"['http://www.balestrand.kommune.no/', '<Response [200]>', '<Response [404]>']"
Ballangen,"['http://www.ballangen.kommune.no/', '<Response [200]>', '<Response [404]>']"
Balsfjord,"['http://www.balsfjord.kommune.no/', '<Response [200]>', '<Response [404]>']"
Bamble,"['http://www.bamble.kommune.no/', '<Response [200]>', '<Response [404]>']"
Bardu,"['http://www.bardu.kommune.no/', '<Response [200]>', 'https://aspephpub.public.cloudservices.no/Bardu/dmb/Details/12#']"
Beiarn,"['http://www.beiarn.kommune.no/', '<Response [200]>', '<Response [404]>']"
Berg,"['http://www.berg.kommune.no/', '<Response [200]>', '<Response [404]>']"
Bergen,"['http://www.bergen.kommune.no/', '<Response [200]>', '<Response [404]>']"
Berlevåg,"['http://www.berlevag.kommune.no/', '<Response [200]>', '<Response [404]>']"
Bindal,"['http://www.bindal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Birkenes,"['http://www.birkenes.kommune.no/', '<Response [200]>', '<Response [404]>']"
Bjarkøy,"['https://www.bjarkoy.kommune.no/', '<Response [503]>', '<Response [503]>']"
Bjerkreim,"['http://www.bjerkreim.kommune.no/', '<Response [200]>', 'http://innsyn.e-kommune.no/innsyn_bjerkreim/wfinnsyn.ashx?response=moteplan_utvalg&utvalg=5&']"
Bjugn,"['http://www.bjugn.kommune.no/', '<Response [200]>', 'https://www.bjugn.kommune.no/innsyn/']"
Bodø,"['http://www.bodo.kommune.no/', '<Response [200]>', '<Response [404]>']"
Bokn,"['http://www.bokn.kommune.no/', '<Response [200]>', 'https://www.bokn.kommune.no/innsyn.aspx?response=moteplan_utvalg&utvalg=1&scripturi=/innsyn.aspx&skin=infolink&Mid1=260&']"
Bremanger,"['http://www.bremanger.kommune.no/', '<Response [200]>', 'https://bremanger.kommune.no/innsyn_pluss/wfinnsyn.ashx?response=moteplan_utvalg&utvalg=5&']"
Brønnøy,"['http://www.bronnoy.kommune.no/', '<Response [200]>', 'https://einnsyn.evps.no/einnsyn-bro/dmb/Details/2#']"
Bygland,"['http://www.bygland.kommune.no/', '<Response [200]>', 'http://159.171.48.136/eInnsynBygland/dmb/Details/2#']"
Bykle,"['http://www.bykle.kommune.no/', '<Response [200]>', '<Response [404]>']"
Bærum,"['http://www.baerum.kommune.no/', '<Response [200]>', 'https://www.baerum.kommune.no/innsyn/politikk/wfinnsyn.ashx?response=moteplan_utvalg&utvalg=1&']"
Bø i Telemark,"['http://www.bokommune.no/', '<Response [200]>', 'http://innsyn.e-kommune.no/innsyn_bo/wfinnsyn.ashx?response=moteplan_utvalg&utvalg=1&Mid1=2055&']"
Bø i Vesterålen,"['http://www.boe.kommune.no/', '<Response [200]>', '<Response [404]>']"
Bømlo,"['http://www.bomlo.kommune.no/', '<Response [200]>', '<Response [503]>']"
Båtsfjord,"['http://www.batsfjord.kommune.no/', '<Response [200]>', 'http://innsyn.batsfjord.kommune.no/motekalender']"
Dovre,"['http://www.dovre.kommune.no/', '<Response [200]>', '<Response [404]>']"
Drammen,"['http://www.drammen.kommune.no/', '<Response [200]>', '<Response [404]>']"
Drangedal,"['https://www.drangedal.kommune.no/', '<Response [403]>', '<Response [404]>']"
Dyrøy,"['http://www.dyroy.kommune.no/', '<Response [200]>', '<Response [404]>']"
Dønna,"['http://www.donna.kommune.no/', '<Response [200]>', '<Response [404]>']"
Eid,"['http://www.eid.kommune.no/', '<Response [200]>', 'https://eid.kommune.no/innsyn_pluss/wfinnsyn.ashx?response=moteplan_utvalg&utvalg=7&']"
Eide,"['http://www.eide.kommune.no/', '<Response [200]>', 'http://innsyn.eide.kommune.no/dmb/Details/3#']"
Eidfjord,"['http://www.eidfjord.kommune.no/', '<Response [200]>', '<Response [404]>']"
Eidsberg,"['http://www.eidsberg.kommune.no/', '<Response [200]>', '<Response [404]>']"
Eidskog,"['http://www.eidskog.kommune.no/', '<Response [200]>', '<Response [404]>']"
Eidsvoll,"['http://www.eidsvoll.kommune.no/', '<Response [200]>', '<Response [404]>']"
Eigersund,"['http://www.eigersund.kommune.no/', '<Response [200]>', 'http://innsyn.e-kommune.no/innsyn_eigersund_politisk/wfinnsyn.ashx?response=moteplan_utvalg&utvalg=1&']"
Elverum,"['http://www.elverum.kommune.no/', '<Response [200]>', '<Response [404]>']"
Enebakk,"['http://www.enebakk.kommune.no/', '<Response [200]>', '<Response [404]>']"
Engerdal,"['http://www.engerdal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Etne,"['http://www.etne.kommune.no/', '<Response [200]>', '<Response [404]>']"
Etnedal,"['http://www.etnedal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Evenes,"['http://www.evenes.kommune.no/', '<Response [200]>', '<Response [404]>']"
Evje og Hornnes,"['http://www.e-h.kommune.no/', '<Response [200]>', '<Response [404]>']"
Farsund,"['http://www.farsund.kommune.no/', '<Response [200]>', '<Response [404]>']"
Fauske,"['http://www.fauske.kommune.no/', '<Response [200]>', '<Response [404]>']"
Fedje,"['http://www.fedje.kommune.no/', '<Response [200]>', '<Response [404]>']"
Fet,"['http://www.fet.kommune.no/', '<Response [200]>', '<Response [404]>']"
Finnøy,"['http://www.finnoy.kommune.no/', '<Response [200]>', 'http://www.finnoy.kommune.no/innsyn.aspx?response=moteplan_utvalg&utvalg=14&scripturi=/innsyn.aspx&skin=infolink&Mid1=839&']"
Fitjar,"['http://www.fitjar.kommune.no/', '<Response [200]>', '<Response [404]>']"
Fjaler,"['http://hafs.ws.no/', '<Response [404]>', '<Response [404]>']"
Fjell,"['http://www.fjell.kommune.no/', '<Response [200]>', '<Response [404]>']"
Flakstad,"['http://www.flakstad.kommune.no/', '<Response [200]>', '<Response [404]>']"
Flatanger,"['http://www.flatanger.kommune.no/', '<Response [200]>', '<Response [404]>']"
Flekkefjord,"['http://www.flekkefjord.kommune.no/', '<Response [200]>', '<Response [404]>']"
Flesberg,"['http://www.flesberg.kommune.no/', '<Response [200]>', '<Response [404]>']"
Flora,"['http://www.flora.kommune.no/', '<Response [200]>', '<Response [404]>']"
Flå,"['http://www.flaa.kommune.no/', '<Response [200]>', '<Response [404]>']"
Folldal,"['http://www.folldal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Forsand,"['http://www.forsand.kommune.no/', '<Response [200]>', '<Response [404]>']"
Fosnes,"['http://www.fosnes.kommune.no/', '<Response [200]>', '<Response [404]>']"
Fredrikstad,"['http://www.fredrikstad.kommune.no/', '<Response [200]>', '<Response [404]>']"
Frei,"['http://www.frei.kommune.no/', '<Response [404]>', '<Response [404]>']"
Frogn,"['http://www.frogn.kommune.no/', '<Response [200]>', '<Response [404]>']"
Froland,"['http://www.froland.kommune.no/', '<Response [200]>', '<Response [404]>']"
Frosta,"['http://www.frosta.kommune.no/', '<Response [200]>', 'noresponse']"
Fræna,"['http://www.frana.kommune.no/', '<Response [200]>', '<Response [404]>']"
Frøya,"['http://www.froya.kommune.no/', '<Response [200]>', '<Response [404]>']"
Fusa,"['http://www.fusa.kommune.no/', '<Response [200]>', '<Response [404]>']"
Fyresdal,"['http://www.fyresdal.kommune.no/', '<Response [200]>', 'http://innsyn.fyresdal.kommune.no/innsynFyresdal/dmb/Details/32#']"
Førde,"['http://www.forde.kommune.no/', '<Response [200]>', '<Response [404]>']"
Gamvik,"['http://www.gamvik.kommune.no/', '<Response [200]>', '<Response [404]>']"
Gaular,"['http://www.gaular.kommune.no/', '<Response [200]>', '<Response [404]>']"
Gausdal,"['http://www.gausdal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Gildeskål,"['https://gildeskal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Giske,"['http://www.giske.kommune.no/', '<Response [200]>', 'https://www.giske.kommune.no/innsyn.aspx?response=moteplan_utvalg&utvalg=1&scripturi=/innsyn.aspx&skin=infolink&Mid1=1024&']"
Gjemnes,"['http://www.gjemnes.kommune.no/', '<Response [200]>', 'http://innsyn.gjemnes.kommune.no/dmb/Details/2']"
Gjerdrum,"['http://www.gjerdrum.kommune.no/', '<Response [200]>', '<Response [404]>']"
Gjerstad,"['http://www.gjerstad.kommune.no/', '<Response [200]>', '<Response [500]>']"
Gjesdal,"['http://www.gjesdal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Gjøvik,"['http://www.gjovik.kommune.no/', '<Response [200]>', '<Response [404]>']"
Gloppen,"['http://www.gloppen.kommune.no/', '<Response [200]>', '<Response [404]>']"
Gol,"['http://www.gol.kommune.no/', '<Response [200]>', '<Response [404]>']"
Gran,"['http://www.gran.kommune.no/', '<Response [200]>', '<Response [404]>']"
Grane,"['http://www.grane.kommune.no/', '<Response [200]>', '<Response [404]>']"
Granvin Herad,"['http://www.granvin.kommune.no/', '<Response [200]>', 'http://www.granvin.kommune.no/innsyn.aspx?response=moteplan_utvalg&utvalg=10&scripturi=/innsyn.aspx&skin=infolink&Mid1=86&']"
Gratangen,"['http://www.gratangen.kommune.no/', '<Response [200]>', '<Response [404]>']"
Grimstad,"['http://www.grimstad.kommune.no/', '<Response [200]>', '<Response [404]>']"
Grong,"['http://www.grong.kommune.no/', '<Response [200]>', 'http://innsyn.grong.kommune.no/motekalender']"
Grue,"['http://www.grue.kommune.no/', '<Response [200]>', '<Response [404]>']"
Gulen,"['http://gulen.kommune.no/', '<Response [200]>', '<Response [404]>']"
Hadsel,"['http://www.hadsel.kommune.no/', '<Response [200]>', '<Response [404]>']"
Halden,"['http://www.halden.kommune.no/', '<Response [200]>', '<Response [404]>']"
Halsa,"['http://www.halsa.kommune.no/', '<Response [200]>', '<Response [404]>']"
Hamar,"['http://www.hamar.kommune.no/', '<Response [200]>', '<Response [404]>']"
Hamarøy,"['http://www.hamaroy.kommune.no/', '<Response [200]>', '<Response [404]>']"
Hammerfest,"['http://www.hammerfest.kommune.no/', '<Response [200]>', '<Response [404]>']"
Haram,"['http://www.haram.kommune.no/', '<Response [200]>', '<Response [404]>']"
Hareid,"['http://www.hareid.kommune.no/', '<Response [200]>', 'https://innsyn.ssikt.no/hareid/Dmb/Details/1#']"
Harstad,"['http://www.harstad.kommune.no/', '<Response [200]>', '<Response [404]>']"
Hasvik,"['http://www.hasvik.kommune.no/', '<Response [200]>', '<Response [404]>']"
Hattfjelldal,"['http://www.hattfjelldal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Haugesund,"['http://www.haugesund.kommune.no/', '<Response [200]>', '<Response [404]>']"
Hemne,"['http://www.hemne.kommune.no/', '<Response [200]>', 'senere']"
Hemnes,"['http://www.hemnes.kommune.no/', '<Response [200]>', '<Response [404]>']"
Hemsedal,"['http://www.hemsedal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Herøy i Møre,"['http://www.heroy.kommune.no/', '<Response [200]>', 'https://innsyn.ssikt.no/heroy/dmb/Details/3#']"
Herøy i Nordland,"['http://www.heroy-no.kommune.no/', '<Response [200]>', 'http://www.heroy-no.kommune.no/moetekalender.406243.no.html']"
Hitra,"['http://www.hitra.kommune.no/', '<Response [200]>', '<Response [404]>']"
Hjartdal,"['http://www.hjartdal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Hjelmeland,"['http://www.hjelmeland.kommune.no/', '<Response [200]>', '<Response [404]>']"
Hobøl,"['http://www.hobol.kommune.no/', '<Response [200]>', '<Response [404]>']"
Hof,"['http://www.hof.kommune.no/', '<Response [200]>', 'http://www.holmestrand.kommune.no/innsyn/']"
Hol,"['http://www.hol.kommune.no/', '<Response [200]>', '<Response [404]>']"
Hole,"['http://www.hole.kommune.no/', '<Response [200]>', '<Response [404]>']"
Holmestrand,"['http://www.holmestrand.kommune.no/', '<Response [200]>', 'http://www.holmestrand.kommune.no/innsyn/wfinnsyn.ashx?response=moteplan_utvalg&utvalg=1&']"
Holtålen,"['http://www.holtalen.kommune.no/', '<Response [403]>', '<Response [403]>']"
Hornindal,"['http://www.hornindal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Horten,"['http://www.horten.kommune.no/', '<Response [200]>', 'https://www.horten.kommune.no/innsyn.aspx?response=moteplan_utvalg&utvalg=13&scripturi=/innsyn.aspx&skin=infolink&Mid1=14134&']"
Hurdal,"['http://www.hurdal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Hurum,"['http://www.hurum.kommune.no/', '<Response [200]>', '<Response [404]>']"
Hvaler,"['http://www.hvaler.kommune.no/', '<Response [200]>', '<Response [404]>']"
Hyllestad,"['http://www.hafs.no/', '<Response [200]>', '<Response [404]>']"
Hægebostad,"['http://www.haegebostad.kommune.no/', '<Response [200]>', '<Response [404]>']"
Høyanger,"['http://www.hoyanger.kommune.no/', '<Response [200]>', '<Response [404]>']"
Høylandet,"['http://www.hoylandet.kommune.no/', '<Response [200]>', 'http://innsyn.hoylandet.kommune.no/motekalender']"
Hå,"['http://www.ha.kommune.no/', '<Response [200]>', '<Response [404]>']"
Ibestad,"['http://www.ibestad.kommune.no/', '<Response [200]>', '<Response [404]>']"
Inderøy,"['http://www.inderoy.kommune.no/', '<Response [200]>', 'http://217.168.95.230/eInnsyn-ind/dmb/Details/1#']"
Iveland,"['http://www.iveland.kommune.no/', '<Response [200]>', 'http://159.171.48.136/eInnsynIveland/dmb/Details/1']"
Jevnaker,"['http://www.jevnaker.kommune.no/', '<Response [200]>', '<Response [404]>']"
Jondal,"['http://www.jondal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Jølster,"['http://www.jolster.kommune.no/', '<Response [200]>', '<Response [404]>']"
Karasjok,"['http://www.karasjok.kommune.no/', '<Response [200]>', 'http://postlister.avjovarre.no/Innsyn_Karasjok/Dmb/Details/4#']"
Karlsøy,"['http://www.karlsoy.kommune.no/', '<Response [200]>', '<Response [404]>']"
Karmøy,"['http://www.karmoy.kommune.no/', '<Response [200]>', '<Response [404]>']"
Kautokeino,"['http://www.kautokeino.kommune.no/', '<Response [200]>', '<Response [404]>']"
Klepp,"['http://www.klepp.kommune.no/', '<Response [200]>', '<Response [404]>']"
Klæbu,"['http://www.klabu.kommune.no/', '<Response [200]>', '<Response [404]>']"
Kongsberg,"['http://www.kongsberg.kommune.no/', '<Response [200]>', 'https://prokomresources.prokomcdn.no/plugins/sru-v2/iframe-app/app.html?url=//sru2.kongsberg.kommune.no/#se:utvalg/utvalgid:337']"
Kongsvinger,"['http://www.kongsvinger.kommune.no/', '<Response [200]>', '<Response [404]>']"
Kragerø,"['http://www.kragero.kommune.no/', '<Response [200]>', '<Response [404]>']"
Kristiansand,"['http://www.kristiansand.kommune.no/', '<Response [200]>', '<Response [404]>']"
Kristiansund,"['http://www.kristiansund.kommune.no/', '<Response [200]>', 'http://innsyn.kristiansund.kommune.no/Dmb/Details/3#']"
Krødsherad,"['http://www.krodsherad.kommune.no/', '<Response [200]>', '<Response [404]>']"
Kvalsund,"['http://www.kvalsund.kommune.no/', '<Response [200]>', '<Response [404]>']"
Kvam herad,"['http://www.kvam.kommune.no/', '<Response [200]>', 'https://www.kvam.no/innsyn.aspx?response=moteplan_utvalg&utvalg=11&scripturi=/innsyn.aspx&skin=infolink&Mid1=214&']"
Kvinesdal,"['http://www.kvinesdal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Kvinnherad,"['http://www.kvinnherad.kommune.no/', '<Response [200]>', '<Response [404]>']"
Kviteseid,"['http://www.kviteseid.kommune.no/', '<Response [200]>', 'http://www.kviteseid.kommune.no/politikk/sakskart-og-moeteboeker/kommunestyret#']"
Kvitsøy,"['http://www.kvitsoy.kommune.no/', '<Response [200]>', '<Response [404]>']"
Kvæfjord,"['http://www.kvafjord.kommune.no/', '<Response [200]>', 'http://innsyn.kvafjord.kommune.no/eInnsyn/utvalg/Details/1#']"
Kvænangen,"['http://www.kvanangen.kommune.no/', '<Response [200]>', '<Response [404]>']"
Kåfjord,"['http://www.kafjord.kommune.no/', '<Response [200]>', '<Response [404]>']"
Lardal,"['http://www.lardal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Larvik,"['http://www.larvik.kommune.no/', '<Response [200]>', '<Response [404]>']"
Lavangen,"['http://www.lavangen.kommune.no/', '<Response [200]>', '<Response [404]>']"
Lebesby,"['http://www.lebesby.kommune.no/', '<Response [200]>', 'http://www.lebesby.kommune.no/moetekalender.372722.no.html']"
Leikanger,"['http://www.leikanger.kommune.no/', '<Response [200]>', '<Response [404]>']"
Leirfjord,"['http://www.leirfjord.kommune.no/', '<Response [200]>', '<Response [404]>']"
Leka,"['http://www.leka.kommune.no/', '<Response [200]>', '<Response [404]>']"
Leksvik,"['http://www.leksvik.kommune.no/', '<Response [200]>', '<Response [503]>']"
Lenvik,"['http://www.lenvik.kommune.no/', '<Response [200]>', '<Response [404]>']"
Lesja,"['http://www.lesja.kommune.no/', '<Response [200]>', '<Response [404]>']"
Levanger,"['http://www.levanger.kommune.no/', '<Response [200]>', '<Response [404]>']"
Lier,"['http://www.lier.kommune.no/', '<Response [200]>', '<Response [404]>']"
Lierne,"['http://www.lierne.kommune.no/', '<Response [200]>', '<Response [404]>']"
Lillehammer,"['http://www.lillehammer.kommune.no/', '<Response [200]>', '<Response [404]>']"
Lillesand,"['http://www.lillesand.kommune.no/', '<Response [200]>', 'http://innsyn.lillesand.kommune.no/innsyn6/wfinnsyn.ashx?response=moteplan_utvalg&utvalg=27&']"
Lindesnes,"['http://www.lindesnes.kommune.no/', '<Response [200]>', '<Response [404]>']"
Lindås,"['http://www.lindas.kommune.no/', '<Response [200]>', '<Response [404]>']"
Lom,"['http://lom.kommune.no/', '<Response [200]>', '<Response [404]>']"
Longyearbyen,"['http://www.lokalstyre.no/', '<Response [200]>', '<Response [404]>']"
Loppa,"['http://www.loppa.kommune.no/', '<Response [200]>', '<Response [404]>']"
Lund,"['http://www.lund.kommune.no/', '<Response [200]>', '<Response [404]>']"
Lunner,"['http://www.lunner.kommune.no/', '<Response [200]>', 'https://www.lunner.kommune.no/sakspapirer.299785.no.html']"
Lurøy,"['http://www.luroy.kommune.no/', '<Response [200]>', '<Response [404]>']"
Luster,"['http://www.luster.kommune.no/', '<Response [200]>', '<Response [404]>']"
Lyngdal,"['http://www.lyngdal.kommune.no/', '<Response [200]>', 'https://prokomresources.prokomcdn.no/plugins/sru-v2/iframe-app/app.html?url=https://sru.lyngdal.kommune.no/sru2&v=1.01&js=//www.lyngdal.kommune.no/globalassets/systembokser/js/srudocreader.js#se:utvalg/utvalgid:8']"
Lyngen,"['http://www.lyngen.kommune.no/', '<Response [200]>', '<Response [404]>']"
Lærdal,"['http://www.laerdal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Lødingen,"['http://www.lodingen.kommune.no/', '<Response [200]>', '<Response [404]>']"
Lørenskog,"['http://www.lorenskog.kommune.no/', '<Response [200]>', '<Response [404]>']"
Løten,"['http://www.loten.kommune.no/', '<Response [200]>', '<Response [404]>']"
Malvik,"['http://www.malvik.kommune.no/', '<Response [200]>', '<Response [404]>']"
Mandal,"['http://www.mandal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Marker,"['http://www.marker.kommune.no/', '<Response [200]>', 'http://innsyn.e-kommune.no/innsyn_marker/wfinnsyn.ashx?response=moteplan_utvalg&utvalg=1&']"
Marnardal,"['http://www.marnardal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Masfjorden,"['http://www.masfjorden.kommune.no/', '<Response [200]>', '<Response [404]>']"
Meland,"['http://www.meland.kommune.no/', '<Response [200]>', '<Response [404]>']"
Meldal,"['http://www.meldal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Melhus,"['http://www.melhus.kommune.no/', '<Response [200]>', '<Response [404]>']"
Meløy,"['http://www.meloy.kommune.no/', '', '<Response [404]>']"
Meråker,"['http://www.meraker.kommune.no/', '<Response [200]>', 'http://einnsyn.meraker.kommune.no/einnsyn/utvalg/Details/2#']"
Midsund,"['http://www.midsund.kommune.no/', '<Response [200]>', '<Response [404]>']"
Midtre Gauldal,"['http://www.midtre-gauldal.kommune.no/', '<Response [200]>', '<Response [404]>']"
Modalen,"['http://www.modalen.kommune.no/', '<Response [200]>', '<Response [404]>']"
Modum,"['http://www.modum.kommune.no/', '<Response [200]>', '<Response [404]>']"
Molde,"['http://www.molde.kommune.no/', '<Response [200]>', '<Response [404]>']"
Moskenes,"['http://www.moskenes.kommune.no/', '<Response [200]>', '<Response [404]>']"
Moss,"['http://www.moss.kommune.no/', '<Response [200]>', '<Response [404]>']"
Mosvik,"['http://www.mosvik.kommune.no/', '<Response [503]>', '<Response [503]>']"
Målselv,"['https://www.malselv.kommune.no/', '<Response [200]>', '<Response [404]>']"
Måsøy,"['http://www.masoy.kommune.no/', '<Response [200]>', '<Response [404]>']"
Namdalseid,"['http://www.namdalseid.kommune.no/', '<Response [200]>', '<Response [404]>']"
Namsos,"['http://www.namsos.kommune.no/', '<Response [200]>', '<Response [404]>']"
Namsskogan,"['http://www.namsskogan.kommune.no/', '<Response [200]>', '<Response [404]>']"
Nannestad,"['http://www.nannestad.kommune.no/', '<Response [200]>', '<Response [404]>']"
Narvik,"['http://www.narvik.kommune.no/', '<Response [200]>', '<Response [404]>']"
Naustdal,"['http://www.naustdal.kommune.no/', '<Response [200]>', 'https://www.naustdal.kommune.no/innsyn.aspx?response=moteplan_utvalg&utvalg=5&scripturi=/innsyn.aspx&skin=infolink&Mid1=10244&']"
Nedre Eiker,"['http://www.nedre-eiker.kommune.no/', '<Response [200]>', '<Response [404]>']"
Nes i Akershus,"['http://www.nes-ak.kommune.no/', '<Response [200]>', '<Response [404]>']"
